Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.6129032258064516,0.7391304347826086,0.7391304347826086,0.6275413391162917,0.018907546997070312
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.12267160415649414
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.015920162200927734
KNeighborsClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.02294015884399414
RandomForestClassifier,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.14066553115844727
ExtraTreesClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.10775375366210938
BaggingClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.04392385482788086
LGBMClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.0747988224029541
ExtraTreeClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.013922691345214844
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.01795029640197754
RidgeClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.0169527530670166
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.030917882919311523
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.02992081642150879
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.030916929244995117
LinearDiscriminantAnalysis,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.023410797119140625
DecisionTreeClassifier,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.019945144653320312
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.01994800567626953
SGDClassifier,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.02290177345275879
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.07978653907775879
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.02596879005432129
LinearSVC,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.027884483337402344
PassiveAggressiveClassifier,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.0199432373046875
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.01877140998840332
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.015996932983398438
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.039893388748168945
Perceptron,0.5161290322580645,0.38858695652173914,0.38858695652173914,0.5249841872232763,0.017953872680664062
